C,SETP.WORLD,DVD_GENUNITS,AEMO,PUBLIC,2024/02/07,00:25:16,0000000410396561,,0000000410396500
I,PARTICIPANT_REGISTRATION,GENUNITS,2,GENSETID,STATIONID,SETLOSSFACTOR,CDINDICATOR,AGCFLAG,SPINNINGFLAG,VOLTLEVEL,REGISTEREDCAPACITY,DISPATCHTYPE,STARTTYPE,MKTGENERATORIND,NORMALSTATUS,MAXCAPACITY,GENSETTYPE,GENSETNAME,LASTCHANGED,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR2-1,,,N,N,N,330,138,GROSS/NET,,N,N,138,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MURR2-3,,,N,N,N,330,138,GROSS/NET,,N,N,138,GENERATOR,,"2011/06/28 15:55:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNOWYGJP,,,N,N,N,132,70,GROSS/NET,,N,N,70,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNWYGJP2,,,N,N,N,330,70,GROSS/NET,,N,N,70,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT1-1,,,N,N,N,330,82,GROSS/NET,,N,N,82,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT1-2,,,N,N,N,330,82,GROSS/NET,,N,N,82,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT1-3,,,N,N,N,330,82,GROSS/NET,,N,N,82,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT2-1,,,N,N,N,330,72,GROSS/NET,,N,N,72,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT2-2,,,N,N,N,330,72,GROSS/NET,,N,N,72,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT2-3,,,N,N,N,330,72,GROSS/NET,,N,N,72,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT2-4,,,N,N,N,330,72,GROSS/NET,,N,N,72,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TUMUT3-5,,,N,N,N,330,250,GROSS/NET,,N,N,250,GENERATOR,,"2011/06/28 15:55:22",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SWAN_D,,,Y,N,N,110,37,NET/NET,FAST,Y,N,37,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SNWYGJP1,,,N,N,N,330,70,GROSS/NET,,N,N,70,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TOMAGO1,,,N,N,N,330,220,GROSS/NET,,N,Y,220,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TOMAGO2,,,N,N,N,330,220,GROSS/NET,,N,Y,220,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,TOMAGO3,,,N,N,N,330,220,GROSS/NET,,N,Y,220,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,FARLEIGH,,,N,N,N,11,13,GROSS/NET,,Y,N,13,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MACKNADE,,,N,N,N,11,8,GROSS/NET,,Y,N,8,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MARIAN,,,N,N,N,11,18,GROSS/NET,,Y,N,18,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,PLANECRK,,,N,N,N,11,23,GROSS/NET,,Y,N,23,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,PLEYSTOW,,,N,N,N,11,11,GROSS/NET,,Y,N,11,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,RCOURSE,,,N,N,N,11,14,GROSS/NET,,Y,N,14,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,ERG_AS,,,N,N,N,132,30,GROSS/NET,,N,Y,30,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,WGULLY,,,N,N,N,11,2,GROSS/NET,,Y,N,2,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DLNKNSW,,,N,N,N,132,180,NET/NET,SLOW,Y,N,188,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DLNKQLD,,,N,N,N,110,180,NET/NET,SLOW,Y,N,188,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,UWS1,,,N,N,N,11,1,GROSS/NET,,Y,N,1,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CALLNL2,,,N,N,N,330,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DRYCNL3,,,Y,Y,Y,275,160,GROSS/NET,,Y,N,160,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MULGRAVE,,,N,N,N,22,2,GROSS/NET,,Y,N,2,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,CALLNL3,,,N,N,N,330,25,GROSS/NET,FAST,Y,N,25,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,LYGS1,,,Y,N,N,500,50,GROSS/NET,FAST,Y,N,65,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,LYGS2,,,Y,N,N,500,50,GROSS/NET,FAST,Y,N,65,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,LYGS3,,,Y,N,N,500,50,GROSS/NET,FAST,Y,N,65,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,LYGS4,,,Y,N,N,500,50,GROSS/NET,FAST,Y,N,65,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,LYGS5,,,Y,N,N,500,50,GROSS/NET,FAST,Y,N,65,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,LYGS6,,,Y,N,N,500,50,GROSS/NET,FAST,Y,N,65,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SUNSHINE,,,N,N,N,22,8,NET/NET,,Y,N,8,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MLINKSA,,,N,N,N,132,220,NET/NET,,Y,N,270,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,MLINKVIC,,,N,N,N,220,220,NET/NET,,Y,N,270,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,STPN1,,,N,N,N,11,5,NET/NET,,Y,N,5,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,RT_NSW1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,RT_QLD1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,RT_SA1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,RT_VIC1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,VICSMLT2,,,N,N,N,500,300,GROSS/NET,,N,Y,300,LOAD,,"2005/11/23 09:55:53",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,SOMERSET,,,N,N,N,33,3,NET/NET,,Y,N,4,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DG_NSW1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DG_QLD1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DG_SA1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,DG_VIC1,,,Y,N,N,330,3000,GROSS/NET,SLOW,N,N,3000,GENERATOR,,"2008/12/10 09:32:21",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,BELLBAY1,,,Y,N,N,110,120,GROSS/NET,SLOW,Y,N,120,GENERATOR,,"2008/12/04 11:22:50",,,
D,PARTICIPANT_REGISTRATION,GENUNITS,2,BELLBAY2,,,Y,N,N,110,120,GROSS/NET,SLOW,Y,N,120,GENERATOR,,"2008/12/04 11:22:50",,,
