region,fueltech,interval,power,emissions
NSW1,coal,2026-08-10 22:00:00+10:00,6354.77,2842.6012
NSW1,coal,2026-08-10 22:30:00+10:00,5910.759183333333,2653.7215
NSW1,coal,2026-08-10 23:00:00+10:00,5491.9204,2458.0983
NSW1,coal,2026-08-10 23:30:00+10:00,5355.9599499999995,2392.2051
NSW1,distillate,2026-08-10 00:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 00:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 01:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 01:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 02:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 02:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 03:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 03:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 04:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 04:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 05:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 05:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 06:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 06:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 07:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 07:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 08:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 08:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 09:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 09:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 10:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 10:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 11:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 11:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 12:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 12:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 13:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 13:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 14:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 14:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 15:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 15:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 16:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 16:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 17:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 17:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 18:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 18:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 19:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 19:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 20:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 20:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 21:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 21:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 22:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 22:30:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 23:00:00+10:00,0.0,0.0
NSW1,distillate,2026-08-10 23:30:00+10:00,0.0,0.0
NSW1,gas,2026-08-10 00:00:00+10:00,43.85,13.2031
NSW1,gas,2026-08-10 00:30:00+10:00,43.89833333333333,13.2179
NSW1,gas,2026-08-10 01:00:00+10:00,43.92166666666666,13.224699999999999
NSW1,gas,2026-08-10 01:30:00+10:00,43.93,13.2272
NSW1,gas,2026-08-10 02:00:00+10:00,43.93166666666667,13.2279
NSW1,gas,2026-08-10 02:30:00+10:00,43.92666666666667,13.225999999999999
NSW1,gas,2026-08-10 03:00:00+10:00,43.946666666666665,13.2323
NSW1,gas,2026-08-10 03:30:00+10:00,43.903333333333336,13.219
NSW1,gas,2026-08-10 04:00:00+10:00,43.94,13.2311
NSW1,gas,2026-08-10 04:30:00+10:00,43.906666666666666,13.2193
NSW1,gas,2026-08-10 05:00:00+10:00,43.845,13.206199999999999
NSW1,gas,2026-08-10 05:30:00+10:00,43.89666666666667,13.2152
NSW1,gas,2026-08-10 06:00:00+10:00,43.89333333333334,13.2135
NSW1,gas,2026-08-10 06:30:00+10:00,43.913333333333334,13.2227
NSW1,gas,2026-08-10 07:00:00+10:00,43.94333333333333,13.2316
NSW1,gas,2026-08-10 07:30:00+10:00,43.901666666666664,13.2203
NSW1,gas,2026-08-10 08:00:00+10:00,43.88833333333333,13.2141
NSW1,gas,2026-08-10 08:30:00+10:00,43.906666666666666,13.2218
NSW1,gas,2026-08-10 09:00:00+10:00,43.835,13.1967
NSW1,gas,2026-08-10 09:30:00+10:00,43.876666666666665,13.2125
NSW1,gas,2026-08-10 10:00:00+10:00,43.88999999999999,13.214
NSW1,gas,2026-08-10 10:30:00+10:00,43.90833333333333,13.2193
NSW1,gas,2026-08-10 11:00:00+10:00,43.836666666666666,13.2032
NSW1,gas,2026-08-10 11:30:00+10:00,43.77333333333333,13.1887
NSW1,gas,2026-08-10 12:00:00+10:00,43.38333333333333,13.069600000000001
NSW1,gas,2026-08-10 12:30:00+10:00,43.321666666666665,13.0404
NSW1,gas,2026-08-10 13:00:00+10:00,43.435,13.0783
NSW1,gas,2026-08-10 13:30:00+10:00,42.86666666666667,12.916
NSW1,gas,2026-08-10 14:00:00+10:00,43.35,13.0403
NSW1,gas,2026-08-10 14:30:00+10:00,44.18333333333334,13.2554
NSW1,gas,2026-08-10 15:00:00+10:00,45.86333333333334,13.7943
NSW1,gas,2026-08-10 15:30:00+10:00,46.20166666666666,13.905999999999999
NSW1,gas,2026-08-10 16:00:00+10:00,46.52333333333333,13.9918
NSW1,gas,2026-08-10 16:30:00+10:00,46.333333333333336,13.9685
NSW1,gas,2026-08-10 17:00:00+10:00,46.318333333333335,13.9407
